PATIENT_NAME,ECG_T_Onsets__abs_energy,ECG_T_Peaks__abs_energy,ECG_T_Offsets__abs_energy,ECG_R_Onsets__abs_energy,ECG_P_Onsets__abs_energy,ECG_Q_Peaks__abs_energy,ECG_P_Offsets__abs_energy,ECG_P_Peaks__abs_energy,ECG_S_Peaks__abs_energy,ECG_R_Offsets__abs_energy
patient015,3297750117.131197,3312963246.8286934,3320327612.994418,3319141643.812561,3353973026.2382045,3322302053.4683228,3364776422.7478456,3360550113.2918344,3334070687.180602,3337093496.9638534
patient015,3374537028.4871216,3385534077.857009,3388839611.0301785,3362820594.3010125,3384822257.513728,3365729149.418203,3396283913.9407964,3385534077.857009,3384561742.354732,3378369021.780526
patient015,3328992687.7174883,3336191847.183456,3343081690.564972,3340321172.985291,3365166632.8011,3343541881.730188,3376476004.580307,3372469630.0838165,3351037313.6510367,3356894630.218194
patient145,361410194.0878832,365877714.9816117,371113057.9155363,367287642.5625,377490589.21898216,368300587.25258255,381658133.7675798,378479832.40454304,371412612.0046487,376750551.8705049
patient030,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient030,3380955408.6932697,3384752542.8219934,3399978737.2535844,3416339175.373152,3457255359.4745398,3412525334.90132,3469631670.756311,3465946496.831601,3425354453.7229943,3422971000.894912
patient030,3156851828.002678,3102113877.319848,3163508371.5567203,3060210925.748713,3188276267.1981463,3085455639.0142603,3196979692.2659945,3141768342.658162,2918797129.0020885,2975958457.2264805
patient030,3336952378.1058373,3346040766.127555,3349691844.7617874,3338407071.77151,3387620359.973021,3343882562.790715,3400245815.463251,3395355968.410286,3370093974.134725,3370916603.409869
patient265,3631097302.438651,3686305203.680144,3651411085.590808,3636048482.0857296,3681639289.9424896,3640655450.220976,3696289277.740659,3687653098.4156814,3655030018.1554017,3667030490.933764
patient192,365389787.8461359,368950443.9979633,371196566.56031615,370370315.3501537,374234183.6844444,372316636.56973934,377726653.5254123,376525176.7858777,377686090.6447192,377078940.6237649
